epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,888.086,0.90383,0.93791,1.18609,0.75642,0.56618,0.65852,0.4036,1.43706,1.5177,1.86704,0.000181687,0.000181687,0.000181687
59,902.861,0.89258,0.92659,1.18423,0.65298,0.5816,0.63552,0.40212,1.42207,1.56196,1.88106,0.000177559,0.000177559,0.000177559
60,917.603,0.90778,0.95612,1.18604,0.69885,0.55561,0.64072,0.418,1.39535,1.54455,1.82736,0.00017343,0.00017343,0.00017343
61,931.885,0.89373,0.90721,1.16427,0.75104,0.61822,0.68429,0.41809,1.475,1.45226,1.8891,0.000169302,0.000169302,0.000169302
62,946.437,0.87505,0.8688,1.16222,0.81373,0.56792,0.68093,0.41527,1.42289,1.45091,1.86899,0.000165174,0.000165174,0.000165174
63,960.738,0.86972,0.89559,1.15694,0.70484,0.62223,0.68369,0.42155,1.41237,1.41381,1.86216,0.000161045,0.000161045,0.000161045
64,976.346,0.87635,0.90497,1.16809,0.78289,0.59707,0.68697,0.42995,1.37605,1.43023,1.83888,0.000156917,0.000156917,0.000156917
65,990.387,0.88483,0.89825,1.17439,0.68803,0.49817,0.62797,0.36978,1.41982,1.62153,1.88351,0.000152789,0.000152789,0.000152789
66,1005.09,0.84182,0.86977,1.14131,0.78231,0.56637,0.66949,0.40977,1.42703,1.48682,1.87856,0.00014866,0.00014866,0.00014866
67,1019.43,0.86441,0.87299,1.15264,0.65069,0.67846,0.68882,0.43067,1.46304,1.43946,1.92789,0.000144532,0.000144532,0.000144532
68,1033.83,0.87102,0.87045,1.14577,0.67599,0.65862,0.66918,0.41609,1.4131,1.44919,1.83026,0.000140404,0.000140404,0.000140404
69,1048.06,0.84356,0.83732,1.14976,0.77897,0.60775,0.71,0.42681,1.41275,1.38494,1.8238,0.000136276,0.000136276,0.000136276
70,1062.3,0.85234,0.83374,1.15715,0.64974,0.63424,0.68768,0.41041,1.42656,1.47693,1.82882,0.000132147,0.000132147,0.000132147
71,1076.73,0.83422,0.82578,1.13239,0.64406,0.63016,0.67748,0.40286,1.40772,1.46382,1.83549,0.000128019,0.000128019,0.000128019
72,1091.06,0.84741,0.83038,1.14277,0.73262,0.54446,0.66139,0.39593,1.41928,1.51998,1.88151,0.000123891,0.000123891,0.000123891
73,1105.37,0.83106,0.8056,1.12648,0.65646,0.62338,0.69444,0.42418,1.43145,1.51303,1.85697,0.000119762,0.000119762,0.000119762
74,1120.33,0.82834,0.82759,1.12837,0.77572,0.60207,0.70594,0.43034,1.41576,1.40618,1.84878,0.000115634,0.000115634,0.000115634
75,1135.79,0.82034,0.7997,1.12224,0.69782,0.68819,0.69805,0.42735,1.42725,1.36878,1.8798,0.000111506,0.000111506,0.000111506
76,1151.15,0.79922,0.78456,1.1165,0.76421,0.59475,0.6989,0.43027,1.4204,1.40408,1.882,0.000107378,0.000107378,0.000107378
77,1166.52,0.81318,0.79645,1.13305,0.68799,0.59148,0.66017,0.40452,1.42209,1.44721,1.83987,0.000103249,0.000103249,0.000103249
78,1181.27,0.81399,0.7982,1.11884,0.7924,0.58199,0.68168,0.42079,1.4024,1.41,1.87887,9.91209e-05,9.91209e-05,9.91209e-05
79,1196.01,0.80941,0.77711,1.11141,0.76348,0.61478,0.69197,0.42491,1.39693,1.39364,1.88757,9.49926e-05,9.49926e-05,9.49926e-05
80,1211.49,0.77917,0.75628,1.09774,0.63767,0.67017,0.68201,0.42516,1.38711,1.51131,1.8883,9.08643e-05,9.08643e-05,9.08643e-05
81,1226.87,0.79576,0.75798,1.11406,0.77978,0.58028,0.67108,0.42094,1.41693,1.42593,1.87534,8.6736e-05,8.6736e-05,8.6736e-05
82,1242.26,0.79915,0.75906,1.10374,0.73739,0.59947,0.70149,0.43392,1.41694,1.45719,1.91768,8.26077e-05,8.26077e-05,8.26077e-05
83,1257.81,0.78819,0.75548,1.10466,0.82895,0.5484,0.68861,0.43129,1.40671,1.44463,1.90686,7.84794e-05,7.84794e-05,7.84794e-05
84,1273.11,0.81484,0.76918,1.11966,0.74567,0.60869,0.70266,0.43635,1.42082,1.39828,1.90512,7.43511e-05,7.43511e-05,7.43511e-05
85,1288.65,0.78053,0.75163,1.10053,0.76033,0.60584,0.69974,0.42037,1.42283,1.40768,1.91596,7.02228e-05,7.02228e-05,7.02228e-05
86,1304.22,0.7865,0.74116,1.11149,0.78602,0.58151,0.70332,0.41302,1.43399,1.43358,1.91881,6.60945e-05,6.60945e-05,6.60945e-05
87,1319.65,0.78865,0.74392,1.1022,0.80675,0.57873,0.71915,0.43939,1.44081,1.38364,1.91117,6.19662e-05,6.19662e-05,6.19662e-05
88,1334.88,0.78109,0.73075,1.1058,0.65022,0.69943,0.70105,0.42712,1.44035,1.41375,1.91328,5.78379e-05,5.78379e-05,5.78379e-05
89,1350.12,0.77344,0.72994,1.09816,0.75431,0.61097,0.7037,0.42233,1.43071,1.41071,1.92099,5.37096e-05,5.37096e-05,5.37096e-05
90,1365.56,0.7769,0.74175,1.09536,0.70496,0.63958,0.70201,0.41917,1.43129,1.42335,1.92087,4.95813e-05,4.95813e-05,4.95813e-05
91,1422.24,0.7475,0.72623,1.08548,0.67961,0.5955,0.66248,0.38929,1.43128,1.49478,1.92061,4.5453e-05,4.5453e-05,4.5453e-05
92,1437.51,0.70128,0.65433,1.07204,0.70577,0.63673,0.69007,0.41793,1.4351,1.3863,1.89512,4.13247e-05,4.13247e-05,4.13247e-05
93,1452.49,0.69269,0.63487,1.06928,0.72916,0.62221,0.706,0.42358,1.38587,1.36655,1.85521,3.71964e-05,3.71964e-05,3.71964e-05
94,1467.79,0.67916,0.61829,1.04895,0.80376,0.58489,0.69972,0.42082,1.38984,1.38713,1.86416,3.30681e-05,3.30681e-05,3.30681e-05
95,1482.95,0.6552,0.60145,1.03771,0.76426,0.58863,0.69861,0.42023,1.38719,1.39667,1.8688,2.89398e-05,2.89398e-05,2.89398e-05
96,1498.1,0.67089,0.60795,1.04371,0.68656,0.6429,0.69527,0.42208,1.38934,1.40328,1.88283,2.48115e-05,2.48115e-05,2.48115e-05
97,1512.87,0.66306,0.59129,1.04457,0.72884,0.62589,0.69546,0.42277,1.38597,1.37962,1.87574,2.06832e-05,2.06832e-05,2.06832e-05
98,1527.98,0.644,0.58605,1.03732,0.67737,0.65864,0.69493,0.42263,1.38876,1.35789,1.88248,1.65549e-05,1.65549e-05,1.65549e-05
99,1543.1,0.65654,0.57606,1.04331,0.74548,0.61751,0.69461,0.41946,1.40479,1.37389,1.89798,1.24266e-05,1.24266e-05,1.24266e-05
100,1558.13,0.63828,0.57331,1.03515,0.76739,0.60405,0.69332,0.42804,1.39429,1.38048,1.88282,8.2983e-06,8.2983e-06,8.2983e-06
